year,country1,country2,firstServe1,firstServe2,ace1,ace2,firstPointWon1,firstPointWon2,secPointWon1,secPointWon2,avgFirstServe1,avgFirstServe2,winner1,winner2,error1,error2
2004,SVK,FRA,0.62,0.76,6,0,0.54,0.59,0.45,0.35,,,62,19,82,21
2007,USA,SRB,0.61,0.74,9,0,0.73,0.62,0.41,0.36,173,146,60,17,56,24
2006,SRB,RUS,0.51,0.6,9,0,0.84,0.54,0.4,0.55,162,160,55,16,42,18
2009,USA,RUS,0.54,0.6,11,0,0.73,0.59,0.36,0.35,173,162,53,19,54,30
2006,CHN,FRA,0.66,0.74,9,3,0.65,0.52,0.56,0.3,159,162,51,14,38,25
2006,USA,SLO,0.61,0.66,10,3,0.68,0.76,0.5,0.32,164,157,50,24,40,20
2010,SVK,USA,0.58,0.62,9,1,0.68,0.54,0.47,0.6,156,144,50,32,42,31
2011,AUS,RUS,0.72,0.59,6,7,0.73,0.72,0.42,0.44,162,164,48,37,44,45
2003,FRA,AUS,0.7,0.57,13,7,0.65,0.65,0.67,0.46,157,154,47,40,31,39
2009,CZE,RUS,0.59,0.63,3,2,0.51,0.67,0.57,0.32,148,152,47,12,59,39
2010,CHN,POL,0.66,0.6,7,3,0.7,0.63,0.48,0.5,159,146,47,25,30,18
2007,RUS,FRA,0.72,0.82,4,0,0.67,0.53,0.53,0.21,152,130,46,6,34,9
2005,IND,FRA,0.49,0.75,5,1,0.72,0.6,0.39,0.39,156,141,45,3,49,14
2005,USA,AUS,0.64,0.67,2,1,0.59,0.56,0.43,0.43,154,144,45,37,44,35
2006,CHN,ESP,0.74,0.58,4,3,0.6,0.57,0.53,0.34,157,160,45,15,30,13
2009,KAZ,SRB,0.56,0.63,6,4,0.63,0.53,0.42,0.51,164,159,45,27,48,39
2004,RUS,USA,0.71,0.77,1,1,0.59,0.56,0.39,0.29,,,44,15,53,33
2008,USA,SRB,0.62,0.68,3,3,0.6,0.54,0.54,0.43,167,159,44,15,39,22
2009,RUS,POL,0.64,0.6,4,2,0.68,0.74,0.41,0.42,159,141,44,19,35,23
2009,GER,FRA,0.5,0.52,3,2,0.75,0.54,0.46,0.56,160,149,44,17,52,37
2009,AUS,JPN,0.56,0.63,3,1,0.61,0.6,0.39,0.37,151,148,44,12,58,23
2010,RUS,AUT,0.61,0.73,5,1,0.68,0.6,0.59,0.42,156,141,44,14,47,31
2011,GER,POL,0.61,0.65,1,3,0.61,0.53,0.44,0.45,152,148,43,28,41,28
2004,RUS,FRA,0.55,0.51,0,3,0.61,0.65,0.44,0.35,,,41,26,48,34
2011,ITA,CHN,0.57,0.65,9,1,0.64,0.59,0.35,0.33,157,143,41,25,34,33
2004,RUS,FRA,0.65,0.65,13,4,0.83,0.7,0.73,0.48,,,40,19,19,18
2004,RUS,COL,0.43,0.57,10,1,0.8,0.64,0.45,0.36,,,40,12,38,23
2008,SUI,SLO,0.63,0.49,4,5,0.66,0.73,0.58,0.47,149,160,40,45,21,23
2004,RUS,ITA,0.49,0.74,7,0,0.65,0.61,0.64,0.62,,,39,22,49,20
2006,SUI,CHN,0.67,0.54,1,5,0.67,0.63,0.35,0.41,148,157,39,42,28,38
2009,BEL,FRA,0.64,0.6,4,2,0.64,0.5,0.53,0.43,159,154,39,13,34,34
2011,USA,BLR,0.49,0.64,12,1,0.71,0.63,0.66,0.44,170,154,39,18,24,22
2011,CRO,CZE,0.6,0.65,4,2,0.77,0.73,0.58,0.45,156,154,39,28,30,30
2007,AUT,SUI,0.66,0.68,0,3,0.68,0.59,0.58,0.44,143,146,38,26,34,42
2007,RUS,AUS,0.54,0.6,5,1,0.71,0.49,0.5,0.57,156,151,38,9,30,6
2007,USA,GER,0.63,0.65,7,2,0.85,0.63,0.48,0.47,172,151,38,12,26,12
2011,AUS,RUS,0.56,0.75,2,2,0.66,0.54,0.6,0.5,156,151,38,23,31,28
2003,BEL,USA,0.46,0.69,4,5,0.6,0.58,0.49,0.45,162,154,37,28,69,43
2003,RUS,ITA,0.56,0.64,6,0,0.51,0.54,0.43,0.33,143,128,37,24,54,41
2003,RUS,USA,0.57,0.7,4,1,0.66,0.39,0.43,0.66,148,136,37,16,41,39
2003,SVK,FRA,0.61,0.58,5,1,0.73,0.47,0.42,0.39,152,146,37,8,32,16
2004,USA,USA,0.51,0.6,5,0,0.61,0.45,0.47,0.52,,,37,17,46,32
2006,ITA,IND,0.51,0.48,6,1,0.64,0.56,0.51,0.44,159,152,37,27,33,45
2006,SUI,FRA,0.51,0.69,6,3,0.64,0.62,0.51,0.45,152,148,37,19,36,23
2006,SRB,RUS,0.74,0.62,4,1,0.64,0.57,0.48,0.39,152,151,37,41,24,46
2010,AUS,ITA,0.62,0.82,7,0,0.69,0.48,0.5,0.45,164,135,37,10,29,12
2010,RUS,JPN,0.61,0.56,11,1,0.72,0.49,0.38,0.44,159,151,37,20,35,30
2003,USA,SLO,0.55,0.66,7,1,0.81,0.58,0.56,0.39,164,143,36,13,24,24
2004,USA,SVK,0.7,0.55,8,1,0.93,0.53,0.5,0.44,,,36,7,17,13
2005,IND,ITA,0.52,0.72,0,0,0.5,0.52,0.54,0.54,143,143,36,7,56,28
2006,RUS,USA,0.59,0.62,5,2,0.76,0.52,0.38,0.47,160,164,36,11,33,23
2006,FRA,ITA,0.65,0.63,8,3,0.66,0.65,0.47,0.42,167,170,36,33,29,32
2006,RUS,FRA,0.64,0.64,8,2,0.7,0.6,0.37,0.38,167,167,36,19,32,22
2007,USA,ITA,0.53,0.47,9,3,0.71,0.68,0.39,0.42,160,165,36,34,49,38
2008,AUT,FRA,0.7,0.64,0,2,0.54,0.55,0.45,0.56,146,149,36,19,65,37
2009,BEL,DEN,0.62,0.68,3,0,0.62,0.53,0.47,0.3,160,143,36,10,34,21
2009,BEL,ITA,0.69,0.66,3,0,0.77,0.64,0.69,0.48,157,128,36,9,34,15
2009,RUS,GER,0.67,0.6,4,0,0.66,0.52,0.38,0.39,154,162,36,23,38,43
2011,GER,ROU,0.66,0.91,1,0,0.64,0.47,0.5,0.83,144,107,36,10,36,19
2004,RUS,USA,0.56,0.6,10,2,0.78,0.69,0.6,0.51,,,35,14,44,27
2004,USA,CZE,0.64,0.71,7,0,0.83,0.57,0.63,0.27,,,35,3,17,13
2005,USA,ESP,0.59,0.8,2,1,0.6,0.51,0.58,0.27,165,148,35,13,24,11
2006,SVK,USA,0.56,0.54,5,5,0.64,0.73,0.61,0.29,160,164,35,24,22,25
2006,RUS,RUS,0.59,0.61,1,0,0.76,0.49,0.38,0.43,151,156,35,11,29,21
2006,USA,SUI,0.63,0.63,3,6,0.58,0.6,0.68,0.4,160,152,35,19,25,14
2007,USA,USA,0.54,0.56,7,2,0.8,0.57,0.44,0.56,165,156,35,38,33,49
2010,AUS,RUS,0.62,0.75,4,2,0.6,0.51,0.34,0.5,157,151,35,19,58,38
2010,FRA,SVK,0.58,0.57,4,2,0.73,0.77,0.39,0.3,148,172,35,31,41,43
2003,RUS,ESP,0.69,0.48,0,1,0.62,0.68,0.46,0.51,131,168,34,32,36,35
2003,FRA,JPN,0.56,0.71,3,1,0.8,0.6,0.48,0.19,151,139,34,14,23,14
2004,RUS,RUS,0.56,0.72,3,0,0.63,0.55,0.63,0.35,,,34,7,35,15
2004,BEL,ISR,0.44,0.6,2,2,0.65,0.43,0.38,0.36,,,34,18,47,39
2005,RUS,USA,0.63,0.63,1,2,0.64,0.6,0.32,0.33,156,165,34,24,43,56
2005,FRA,ITA,0.71,0.72,6,0,0.84,0.55,0.62,0.47,165,159,34,13,9,13
2006,CZE,USA,0.66,0.67,10,0,0.73,0.68,0.74,0.5,162,143,34,10,27,17
2006,USA,ESP,0.57,0.72,3,1,0.87,0.53,0.71,0.36,170,149,34,3,20,10
2006,JPN,ITA,0.67,0.52,1,6,0.54,0.55,0.42,0.38,154,159,34,31,48,36
2006,SRB,JPN,0.47,0.55,3,0,0.83,0.69,0.52,0.43,165,151,34,5,32,15
2006,BEL,SRB,0.54,0.73,4,0,0.68,0.48,0.3,0.33,164,156,34,24,39,38
2010,GER,USA,0.7,0.67,2,5,0.62,0.61,0.4,0.37,148,152,34,42,36,35
2011,USA,DEN,0.62,0.67,11,1,0.78,0.55,0.32,0.37,172,156,34,5,34,12
2003,ITA,SLO,0.54,0.62,2,3,0.65,0.57,0.35,0.32,152,149,33,17,39,25
2003,AUS,SUI,0.73,0.57,2,1,0.7,0.69,0.47,0.23,151,146,33,13,24,13
2004,USA,RUS,0.72,0.64,4,3,0.67,0.54,0.44,0.38,,,33,24,24,28
2006,RUS,NED,0.82,0.43,10,3,0.86,0.54,0.67,0.44,167,164,33,10,13,9
2006,BEL,JPN,0.59,0.63,4,0,0.7,0.44,0.42,0.32,165,154,33,11,29,27
2007,BLR,SUI,0.68,0.68,3,1,0.68,0.46,0.42,0.41,157,148,33,21,30,25
2007,IND,USA,0.66,0.68,6,3,0.59,0.49,0.36,0.38,157,162,33,18,33,20
